PassengerId,Age,ServiceCost,CryoInt,VIPInt
0239_01,37.0,1048.0,0,0
0240_01,35.0,0.0,1,0
0242_01,18.0,1288.0,0,0
0243_01,21.0,0.0,1,0
0244_01,43.0,0.0,1,0
0245_01,46.0,3578.0,0,0
0245_02,33.0,12378.0,0,0
0246_01,21.0,3261.0,0,0
0248_01,33.0,9684.0,0,0
0251_01,54.0,0.0,1,0
0252_01,30.0,1571.0,0,0
0253_01,29.0,888.0,0,0
0254_01,21.0,1290.0,0,0
0255_01,24.0,0.0,1,0
0257_02,60.0,0.0,1,0
0258_01,22.0,704.0,0,0
0260_01,26.0,7845.0,0,0
0261_01,26.0,898.0,0,0
0263_01,28.0,0.0,1,0
0267_01,13.0,873.0,0,0
0269_01,47.0,823.0,0,0
0270_01,63.0,1393.0,0,0
0277_01,50.0,2487.0,0,0
0278_02,45.0,444.0,0,0
0281_01,19.0,2078.0,0,0
0282_01,21.0,918.0,0,0
0283_01,29.0,0.0,1,0
0283_02,22.0,803.0,0,0
0285_01,14.0,0.0,1,0
0285_02,42.0,0.0,1,0
0286_01,57.0,1488.0,0,0
0287_01,39.0,0.0,1,0
0287_02,28.0,2085.0,0,0
0288_01,19.0,828.0,0,0
0289_01,19.0,0.0,1,0
0290_01,26.0,5877.0,0,0
0290_02,17.0,0.0,1,0
0290_04,9.0,0.0,0,0
0291_01,40.0,7678.0,0,0
0297_01,24.0,1433.0,0,0
0298_01,57.0,0.0,1,0
0301_01,16.0,0.0,1,0
0302_01,23.0,1385.0,0,0
0303_01,23.0,0.0,1,0
0304_01,28.0,7439.0,0,0
0305_01,23.0,3073.0,0,0
0306_01,23.0,904.0,0,0
0307_01,18.0,1359.0,0,0
0309_01,18.0,1357.0,0,0
0313_01,60.0,552.0,0,0
0313_03,49.0,649.0,0,0
0313_04,0.0,0.0,0,0
0314_01,26.0,1790.0,0,0
0315_01,35.0,0.0,1,0
0321_01,59.0,1227.0,0,1
0322_01,13.0,0.0,1,0
0324_01,43.0,0.0,1,0
0326_01,29.0,0.0,1,0
0327_01,19.0,803.0,0,0
0330_01,2.0,0.0,0,0
0330_02,32.0,5146.0,0,0
0330_03,33.0,2168.0,0,0
0331_01,25.0,803.0,0,0
0333_01,29.0,0.0,1,0
0334_01,29.0,7404.0,0,0
0336_01,44.0,712.0,0,0
0337_01,2.0,0.0,1,0
0337_02,19.0,2460.0,0,0
0337_03,0.0,0.0,0,0
0340_01,38.0,0.0,1,0
0341_01,5.0,0.0,1,0
0343_01,31.0,1302.0,0,0
0345_01,30.0,0.0,1,0
0346_01,15.0,0.0,1,0
0347_01,27.0,1868.0,0,0
0348_01,22.0,3223.0,0,0
0350_01,14.0,0.0,1,0
0352_01,23.0,4976.0,0,0
0355_01,18.0,0.0,1,0
0356_01,36.0,0.0,1,0
0358_01,50.0,0.0,1,0
0358_02,32.0,0.0,1,0
0359_01,26.0,689.0,0,0
0360_01,15.0,715.0,0,0
0361_01,33.0,733.0,0,0
0368_01,26.0,7405.0,0,0
0368_02,61.0,0.0,1,0
0369_01,24.0,827.0,0,0
0370_01,30.0,1559.0,0,0
0371_01,24.0,0.0,1,0
0372_01,24.0,2771.0,0,0
0373_01,41.0,0.0,1,0
0375_01,20.0,788.0,0,0
0376_01,22.0,908.0,0,0
0377_01,63.0,9432.0,0,0
0378_01,18.0,6065.0,0,0
0378_02,21.0,0.0,1,0
0378_03,79.0,10645.0,0,0
0378_04,56.0,0.0,1,0
0378_05,13.0,0.0,1,0
0378_06,33.0,4729.0,0,0
0378_07,32.0,0.0,1,0
0379_01,31.0,953.0,0,0
0380_01,26.0,0.0,1,0
0381_01,18.0,0.0,1,0
0382_01,23.0,720.0,0,0
0383_01,28.0,4688.0,0,0
0383_02,34.0,0.0,1,0
0384_01,0.0,0.0,0,0
0384_02,14.0,909.0,0,0
0385_01,23.0,888.0,0,0
0387_01,49.0,0.0,1,0
0388_01,14.0,0.0,1,0
0389_01,18.0,791.0,0,0
0391_01,27.0,6784.0,0,1
0392_01,48.0,1619.0,0,0
0395_01,31.0,25400.0,0,1
0395_02,61.0,4445.0,0,0
0396_01,18.0,0.0,1,0
0397_01,45.0,0.0,1,0
0398_01,22.0,6498.0,0,0
0401_01,30.0,1056.0,0,1
0401_02,30.0,1783.0,0,0
0402_01,32.0,0.0,1,1
0403_01,43.0,1251.0,0,1
0407_02,20.0,693.0,0,0
0407_03,39.0,0.0,1,0
0408_01,35.0,1299.0,0,0
0409_01,31.0,1118.0,0,0
0410_01,21.0,717.0,0,0
0411_01,16.0,932.0,0,0
0412_01,60.0,14744.0,0,0
0413_01,18.0,569.0,0,0
0415_01,42.0,0.0,1,0
0417_01,68.0,0.0,1,0
0417_02,22.0,7878.0,0,0
0417_03,59.0,0.0,1,0
0425_01,37.0,1157.0,0,0
0425_02,3.0,0.0,1,0
0425_03,31.0,0.0,1,0
0428_01,29.0,7972.0,0,0
0429_01,20.0,10345.0,0,0
0429_02,46.0,0.0,1,0
0430_01,29.0,1042.0,0,0
0431_01,43.0,0.0,1,0
0432_01,17.0,1493.0,0,0
0433_02,47.0,7513.0,0,0
0434_01,45.0,0.0,1,0
0435_01,17.0,0.0,1,0
0436_01,10.0,0.0,0,0
0436_02,56.0,679.0,0,0
0437_01,39.0,871.0,0,0
0437_02,40.0,873.0,0,0
0441_01,32.0,722.0,0,0
0442_01,35.0,1050.0,0,0
0444_01,32.0,3015.0,0,1
0444_02,26.0,2005.0,0,1
0445_01,25.0,2175.0,0,0
0445_02,26.0,792.0,0,0
0446_01,22.0,0.0,1,0
0447_01,22.0,804.0,0,0
0448_01,24.0,789.0,0,0
0448_02,32.0,0.0,1,0
0449_01,11.0,0.0,1,0
0452_01,22.0,0.0,1,0
0453_01,19.0,0.0,1,0
0453_02,34.0,0.0,1,0
0453_03,74.0,0.0,1,0
0454_02,42.0,0.0,1,0
0454_03,43.0,0.0,1,0
0456_01,55.0,715.0,0,0
0457_01,19.0,773.0,0,0
0457_02,6.0,0.0,1,0
0457_03,7.0,0.0,0,0
0458_01,28.0,0.0,1,0
0459_01,15.0,2217.0,0,0
0460_01,24.0,0.0,1,0
0461_01,31.0,869.0,0,0
0461_02,22.0,884.0,0,0
0461_03,1.0,0.0,0,0
0462_01,50.0,0.0,1,0
0463_02,14.0,1861.0,0,0
0465_01,19.0,1620.0,0,0
0466_01,36.0,865.0,0,0
0468_01,34.0,0.0,1,0
0470_02,36.0,0.0,1,0
0471_01,16.0,5400.0,0,0
0471_02,30.0,7976.0,0,0
0472_01,37.0,862.0,0,0
0474_01,15.0,0.0,1,0
0475_01,36.0,990.0,0,0
0476_02,27.0,0.0,1,0
0476_03,12.0,0.0,1,0
0477_01,22.0,1624.0,0,0
0481_01,13.0,0.0,1,0
0482_01,27.0,788.0,0,0
0482_02,28.0,629.0,0,0
0485_01,21.0,3436.0,0,0
0490_01,14.0,0.0,1,0
0499_01,27.0,0.0,1,0
0499_02,21.0,0.0,0,0
0500_01,21.0,2344.0,0,0
0502_01,22.0,1298.0,0,0
0503_01,10.0,0.0,0,0
0503_02,43.0,1897.0,0,0
0503_03,42.0,1297.0,0,0
0504_01,18.0,0.0,1,0
0504_02,54.0,0.0,1,0
0504_03,24.0,0.0,1,0
0504_04,64.0,2901.0,0,0
0504_05,18.0,0.0,1,0
0504_06,53.0,0.0,1,0
0506_01,23.0,0.0,1,0
0507_01,39.0,0.0,0,0
0510_01,59.0,16844.0,0,0
0512_01,32.0,5936.0,0,0
0512_02,55.0,0.0,1,0
0513_01,21.0,0.0,1,0
0515_01,50.0,0.0,1,0
0516_01,55.0,5022.0,0,0
0518_01,35.0,0.0,1,0
0522_01,42.0,906.0,0,0
0523_01,35.0,2505.0,0,0
0525_01,47.0,0.0,1,0
0527_02,34.0,0.0,1,0
0528_01,46.0,11141.0,0,0
0529_01,26.0,0.0,1,0
0531_01,1.0,0.0,1,0
0533_01,33.0,961.0,0,0
0534_01,34.0,8476.0,0,0
0534_02,49.0,5863.0,0,0
0537_01,22.0,677.0,0,0
0538_01,28.0,1078.0,0,0
0539_02,36.0,0.0,1,0
0539_03,30.0,0.0,1,0
0539_04,49.0,0.0,1,0
0539_05,38.0,7268.0,0,0
0540_01,31.0,0.0,1,0
0540_02,17.0,1532.0,0,0
0542_01,26.0,887.0,0,0
0545_01,23.0,740.0,0,0
0546_01,24.0,2459.0,0,0
0547_01,23.0,865.0,0,0
0548_01,24.0,791.0,0,0
0549_01,32.0,919.0,0,0
0549_02,43.0,0.0,1,0
0550_01,23.0,787.0,0,0
0551_01,42.0,849.0,0,0
0552_01,29.0,0.0,1,0
0553_01,40.0,0.0,1,0
0553_02,37.0,7270.0,0,0
0555_01,61.0,0.0,1,0
0555_02,33.0,2691.0,0,0
0556_01,19.0,1448.0,0,0
0559_01,21.0,671.0,0,0
0560_01,4.0,0.0,0,0
0560_02,12.0,0.0,0,0
0560_03,44.0,1839.0,0,0
0561_01,22.0,774.0,0,0
0563_01,33.0,1905.0,0,0
0564_01,32.0,0.0,1,0
0564_02,28.0,0.0,1,0
0564_03,28.0,5461.0,0,0
0565_01,31.0,1309.0,0,0
0566_01,13.0,0.0,1,0
0567_01,14.0,0.0,1,0
0569_01,23.0,644.0,0,0
0570_01,36.0,6634.0,0,1
0571_01,22.0,0.0,1,0
0571_02,19.0,0.0,1,0
0571_03,42.0,0.0,1,0
0571_05,16.0,0.0,1,0
0571_06,55.0,4924.0,0,0
0571_07,55.0,0.0,1,0
0572_01,19.0,2786.0,0,0
0575_01,18.0,0.0,1,0
0577_01,65.0,626.0,0,0
0579_01,55.0,880.0,0,0
0580_01,49.0,0.0,1,0
0581_01,22.0,788.0,0,0
0582_01,33.0,0.0,1,0
0583_01,3.0,0.0,1,0
0583_02,0.0,0.0,1,0
0583_03,33.0,0.0,1,0
0585_01,48.0,0.0,1,0
0585_02,5.0,0.0,1,0
0585_03,23.0,3740.0,0,0
0586_01,53.0,0.0,1,0
0587_01,18.0,1688.0,0,0
0588_01,20.0,0.0,1,0
0589_01,23.0,787.0,0,0
0590_01,48.0,1777.0,0,0
0591_01,19.0,0.0,1,0
0594_01,9.0,0.0,0,0
0597_01,23.0,0.0,1,0
0597_02,21.0,0.0,1,0
0599_01,0.0,0.0,0,0
0599_03,26.0,1428.0,0,0
0599_04,9.0,0.0,1,0
0600_01,24.0,5013.0,0,0
0602_01,24.0,0.0,1,0
0602_02,25.0,0.0,0,0
0602_03,21.0,0.0,1,0
0603_01,21.0,759.0,0,0
0608_01,7.0,0.0,0,0
0611_01,31.0,0.0,1,0
0612_01,27.0,0.0,1,1
0615_01,58.0,0.0,1,0
0615_02,7.0,0.0,0,0
0615_03,3.0,0.0,1,0
0618_01,21.0,957.0,0,0
0618_02,21.0,757.0,0,0
0619_02,43.0,0.0,1,0
0623_01,22.0,0.0,1,0
0628_01,44.0,1319.0,0,0
0629_01,38.0,1018.0,0,0
0630_01,32.0,0.0,1,0
0631_01,55.0,0.0,1,0
0633_01,31.0,779.0,0,1
0634_01,39.0,2019.0,0,0
0635_01,35.0,1778.0,0,0
0635_02,37.0,994.0,0,0
0636_01,13.0,705.0,0,0
0636_02,21.0,682.0,0,0
0637_01,20.0,0.0,0,0
0638_01,20.0,0.0,1,0
0641_01,36.0,1979.0,0,0
0642_01,29.0,4434.0,0,0
0642_02,36.0,7141.0,0,0
0642_03,79.0,2212.0,0,0
0642_04,30.0,0.0,1,0
0642_05,30.0,0.0,1,0
0643_01,19.0,1426.0,0,0
0644_01,33.0,0.0,1,0
0645_01,20.0,1725.0,0,0
0646_01,38.0,0.0,1,0
0647_01,7.0,0.0,1,0
0647_02,58.0,0.0,1,0
0647_03,33.0,1192.0,0,0
0650_01,3.0,0.0,1,0
0655_01,37.0,947.0,0,0
0656_01,32.0,771.0,0,0
0657_01,28.0,880.0,0,0
0657_02,38.0,884.0,0,0
0659_01,18.0,0.0,1,0
0660_01,15.0,0.0,1,0
0661_01,44.0,4588.0,0,0
0663_01,44.0,715.0,0,0
0664_01,36.0,10196.0,0,0
0665_02,15.0,1289.0,0,0
0668_01,45.0,1583.0,0,0
0669_01,26.0,944.0,0,0
0671_01,46.0,0.0,1,0
0672_01,25.0,786.0,0,0
0674_01,46.0,0.0,1,0
0677_01,15.0,0.0,1,0
0678_01,37.0,0.0,1,0
0680_01,45.0,0.0,1,0
0680_02,7.0,0.0,1,0
0682_01,38.0,0.0,1,0
0683_01,30.0,617.0,0,0
0684_02,0.0,0.0,0,0
0684_03,20.0,0.0,1,0
0685_01,41.0,997.0,0,0
0686_01,18.0,0.0,1,0
0687_01,19.0,3319.0,0,0
0688_01,34.0,2114.0,0,0
0689_01,36.0,0.0,1,0
0690_01,54.0,0.0,1,0
0691_01,19.0,947.0,0,0
0691_02,21.0,2457.0,0,0
0691_03,23.0,0.0,1,0
0693_02,34.0,7869.0,0,0
0696_01,22.0,881.0,0,0
0697_01,24.0,722.0,0,0
0699_01,18.0,0.0,1,0
0699_02,24.0,3012.0,0,0
0701_01,33.0,0.0,1,0
0702_01,24.0,803.0,0,0
0703_01,18.0,0.0,1,0
0704_01,19.0,0.0,1,0
0705_01,43.0,722.0,0,0
0709_01,25.0,5416.0,0,0
0710_01,23.0,2075.0,0,0
0713_01,26.0,1609.0,0,0
0714_01,38.0,0.0,1,0
0714_02,1.0,0.0,0,0
0714_04,2.0,0.0,1,0
0714_05,25.0,0.0,1,0
0714_06,1.0,0.0,1,0
0714_07,0.0,0.0,1,0
0718_01,21.0,787.0,0,0
0719_01,19.0,0.0,0,0
0724_01,24.0,2773.0,0,0
0726_01,20.0,0.0,1,0
0727_01,23.0,646.0,0,0
0728_01,29.0,1382.0,0,0
0729_01,14.0,788.0,0,0
0732_01,19.0,716.0,0,0
0733_01,23.0,691.0,0,0
0734_01,62.0,1553.0,0,0
0736_01,23.0,672.0,0,0
0740_01,67.0,3505.0,0,0
0740_02,14.0,0.0,1,0
0740_03,41.0,7077.0,0,0
0743_01,14.0,0.0,1,0
0746_01,19.0,0.0,1,0
0750_01,22.0,691.0,0,0
0753_01,34.0,0.0,1,0
0753_02,65.0,4565.0,0,0
0753_03,42.0,0.0,1,0
0756_01,54.0,0.0,1,0
0756_02,34.0,4636.0,0,0
0757_01,67.0,1179.0,0,0
0761_01,33.0,3994.0,0,0
0762_01,30.0,0.0,1,0
0765_01,35.0,1315.0,0,0
0767_01,49.0,887.0,0,0
0768_01,36.0,29608.0,0,0
0769_01,54.0,0.0,1,0
0770_01,0.0,0.0,1,0
0770_04,10.0,0.0,1,0
0770_05,0.0,0.0,0,0
0770_06,7.0,0.0,1,0
0771_01,25.0,0.0,1,0
0772_01,37.0,6176.0,0,0
0772_02,15.0,0.0,1,0
0772_03,26.0,0.0,1,0
0772_04,7.0,0.0,0,0
0773_01,30.0,737.0,0,0
0776_01,19.0,1419.0,0,0
0777_01,30.0,4022.0,0,0
0779_01,21.0,575.0,0,0
0781_01,21.0,517.0,0,0
0782_01,59.0,0.0,1,0
0784_01,28.0,0.0,1,0
0785_01,32.0,716.0,0,0
0786_01,19.0,0.0,1,0
0788_01,16.0,797.0,0,0
0789_01,31.0,2689.0,0,1
0789_02,30.0,4598.0,0,0
0789_03,26.0,0.0,1,0
0791_01,24.0,0.0,1,0
0793_01,39.0,773.0,0,0
0794_02,27.0,0.0,1,0
0795_01,34.0,874.0,0,0
0796_01,28.0,0.0,1,0
0797_01,29.0,645.0,0,0
0798_01,38.0,0.0,1,0
0802_01,1.0,0.0,1,0
0805_01,36.0,15302.0,0,1
0806_01,31.0,1386.0,0,0
0806_02,1.0,0.0,0,0
0808_01,31.0,980.0,0,0
0809_03,42.0,1191.0,0,0
0809_04,0.0,0.0,0,0
0811_01,41.0,2042.0,0,0
0811_02,0.0,0.0,1,0
0811_03,0.0,0.0,0,0
0813_01,59.0,0.0,1,0
0816_01,24.0,5336.0,0,0
0817_01,20.0,0.0,1,0
0818_01,71.0,0.0,0,1
0820_01,15.0,776.0,0,0
0820_02,18.0,751.0,0,0
0822_01,19.0,732.0,0,0
0823_01,4.0,0.0,1,0
0823_02,42.0,739.0,0,0
0824_01,51.0,1213.0,0,0
0825_01,13.0,0.0,1,0
0826_01,27.0,827.0,0,0
0828_01,42.0,867.0,0,0
0829_01,21.0,2712.0,0,0
0830_01,31.0,814.0,0,0
0833_01,36.0,0.0,1,0
0834_01,31.0,865.0,0,0
0835_01,14.0,676.0,0,0
0836_01,32.0,1266.0,0,1
0839_01,32.0,5331.0,0,0
0845_01,57.0,7173.0,0,0
0846_01,13.0,0.0,1,0
0848_01,30.0,0.0,1,0
0848_02,14.0,0.0,1,0
0849_01,27.0,0.0,0,0
0849_02,32.0,0.0,1,0
0850_01,54.0,0.0,1,0
0851_01,23.0,627.0,0,0
0853_01,38.0,0.0,1,0
0859_01,32.0,0.0,1,0
0860_01,24.0,788.0,0,0
0863_01,36.0,0.0,1,0
0863_02,11.0,0.0,0,0
0863_03,6.0,0.0,1,0
0865_02,22.0,0.0,1,0
0868_01,37.0,0.0,1,0
0869_01,55.0,724.0,0,0
0871_01,20.0,5033.0,0,0
0874_01,19.0,702.0,0,0
0875_01,38.0,0.0,0,0
0876_01,35.0,747.0,0,0
0877_01,33.0,0.0,1,0
0878_01,37.0,831.0,0,1
0879_01,46.0,788.0,0,0
0881_01,41.0,3163.0,0,0
0883_01,13.0,908.0,0,0
0885_01,31.0,0.0,1,0
0885_02,52.0,0.0,1,0
0889_01,48.0,0.0,0,0
0893_01,32.0,0.0,1,0
0899_01,26.0,717.0,0,0
0899_02,44.0,0.0,1,0
0901_01,32.0,2599.0,0,0
0902_01,18.0,737.0,0,0
0904_01,44.0,3983.0,0,0
0905_01,29.0,879.0,0,0
0907_01,41.0,14811.0,0,0
0910_01,19.0,0.0,1,0
0911_02,74.0,1427.0,0,0
0912_01,31.0,8280.0,0,0
0915_01,20.0,704.0,0,0
0918_01,24.0,1602.0,0,0
0919_01,26.0,1370.0,0,0
0921_01,44.0,0.0,1,0
0922_02,31.0,2490.0,0,0
0923_02,22.0,0.0,1,0
0924_01,33.0,997.0,0,0
0925_01,34.0,2005.0,0,0
0925_02,11.0,0.0,1,0
0926_01,30.0,8524.0,0,0
0926_02,30.0,3836.0,0,0
0928_01,31.0,0.0,1,0
0930_01,38.0,1041.0,0,0
0930_02,15.0,0.0,1,0
0932_01,29.0,0.0,1,0
0933_01,30.0,14180.0,0,0
0933_02,29.0,4064.0,0,0
0935_01,36.0,901.0,0,0
0938_01,24.0,804.0,0,0
0938_02,30.0,871.0,0,0
0938_03,0.0,0.0,0,0
0939_01,15.0,0.0,1,0
0940_01,38.0,809.0,0,0
0941_01,13.0,1182.0,0,0
0942_01,18.0,1149.0,0,0
0944_01,16.0,1722.0,0,0
0944_02,8.0,0.0,0,0
0946_01,19.0,607.0,0,0
0947_01,26.0,675.0,0,0
0949_01,15.0,0.0,1,0
0951_01,38.0,0.0,1,0
0952_01,45.0,2260.0,0,0
0956_01,28.0,636.0,0,0
0957_01,41.0,0.0,1,0
0961_01,14.0,893.0,0,0
0964_02,48.0,0.0,1,0
0965_01,19.0,1769.0,0,0
0966_01,29.0,1544.0,0,0
0968_01,20.0,792.0,0,0
0969_01,44.0,0.0,1,0
0970_01,19.0,0.0,1,0
0971_01,64.0,0.0,1,0
0972_01,21.0,1669.0,0,0
0975_01,32.0,826.0,0,0
0976_01,20.0,0.0,1,0
0979_01,44.0,0.0,0,0
0982_01,57.0,0.0,1,0
0983_01,34.0,0.0,1,0
0984_01,45.0,887.0,0,0
0984_02,24.0,718.0,0,0
0984_03,23.0,809.0,0,0
0984_04,30.0,0.0,1,0
0984_05,20.0,1235.0,0,0
0984_06,22.0,0.0,1,0
0984_08,71.0,0.0,1,0
0987_01,16.0,666.0,0,0
0988_01,28.0,909.0,0,0
0988_02,36.0,989.0,0,0
0989_01,6.0,0.0,0,0
0990_01,26.0,687.0,0,0
0992_01,49.0,3077.0,0,0
0992_02,29.0,12597.0,0,0
0992_03,46.0,2966.0,0,0
0992_04,35.0,9766.0,0,1
0992_05,17.0,0.0,1,0
0992_06,37.0,6931.0,0,0
0993_01,24.0,701.0,0,0
0994_01,47.0,0.0,1,0
0994_02,26.0,866.0,0,0
0995_01,46.0,0.0,1,0
0997_01,27.0,1157.0,0,0
0998_01,56.0,7735.0,0,0
1000_01,18.0,917.0,0,0
1001_01,15.0,0.0,1,0
1002_01,3.0,0.0,0,0
1002_02,42.0,1768.0,0,0
1002_03,1.0,0.0,1,0
1005_01,20.0,786.0,0,0
1006_01,21.0,791.0,0,0
1006_02,5.0,0.0,1,0
1006_03,12.0,0.0,0,0
1008_01,39.0,0.0,1,0
1008_02,60.0,0.0,1,0
1011_01,31.0,1692.0,0,0
1011_02,58.0,0.0,1,0
1012_01,19.0,0.0,1,0
1013_01,29.0,0.0,1,0
1014_01,19.0,0.0,1,0
1017_01,20.0,1262.0,0,0
1018_01,18.0,0.0,1,0
1019_01,36.0,1412.0,0,0
1020_01,25.0,0.0,1,0
1024_01,18.0,1476.0,0,0
1024_02,0.0,0.0,1,0
1024_03,54.0,808.0,0,0
1024_04,0.0,0.0,0,0
1025_01,20.0,1067.0,0,0
1027_01,8.0,0.0,0,0
1027_02,46.0,1573.0,0,0
1027_04,3.0,0.0,0,0
